date,open,high,low,close,Volume LINK,Volume USDT,tradecount
11/30/2020 0:00,13.3855,14.437,13.3855,14.2677,10302701.22,144279297.5,225033
11/29/2020 0:00,13.0848,13.4765,12.8408,13.38,6551088.54,86105236.96,130452
11/28/2020 0:00,12.5038,13.43,12.3489,13.0853,7286264.48,94277169.78,147521
11/27/2020 0:00,12.6036,12.953,11.9454,12.4989,9129104.44,113207146.2,231521
11/26/2020 0:00,14.218,14.4743,11.2939,12.603,24596535.81,307279277.3,524048
11/25/2020 0:00,15.6637,15.86,13.79,14.2016,9521564.1,143152160.4,227277
11/24/2020 0:00,15.2648,16.39,14.943,15.6703,15636471.17,244854910,354432
11/23/2020 0:00,14.5098,15.425,14.252,15.2746,12472333.45,185908896.4,255890
11/22/2020 0:00,15.4408,15.7179,13.8402,14.5098,14244002.32,209484344.1,294258
11/21/2020 0:00,14.0913,15.5,13.6876,15.4511,14003272.57,205026976.6,313376
11/20/2020 0:00,13.6117,14.477,13.4618,14.0933,11203096.77,157339512.8,242602
11/19/2020 0:00,13.5602,14,13.0111,13.6187,9805683.27,132702779.6,215465
11/18/2020 0:00,13.3943,14.2669,12.585,13.5598,18517527.67,250471400.7,461464
11/17/2020 0:00,12.6204,13.4228,12.5414,13.3944,11150763.55,144053287.4,258659
11/16/2020 0:00,12.1199,12.8132,11.9971,12.6223,5982803.38,74513586.47,133067
11/15/2020 0:00,12.557,12.6484,11.8156,12.1192,5716347.24,70272602.84,126501
11/14/2020 0:00,12.8679,12.9335,12.3,12.5574,5010394.11,62985384.75,125436
11/13/2020 0:00,12.4038,13,12.3079,12.8687,7892649.62,100542935.4,182820
11/12/2020 0:00,12.753,13.0956,12.27,12.4038,8920340.53,112513611,200405
11/11/2020 0:00,13.0017,13.4293,12.75,12.753,9416548.92,123406439.4,221834
11/10/2020 0:00,12.5182,13.278,12.3156,13.0017,12355950.65,159010073.8,279337
11/9/2020 0:00,12.7083,13.0026,12.04,12.5107,12660359.23,158185417.5,308772
11/8/2020 0:00,11.7668,13.1,11.477,12.71,12949524.47,160307018.6,286739
11/7/2020 0:00,12.1686,13.5956,11.3123,11.7638,24928180.96,313997464.2,607177
11/6/2020 0:00,10.9822,12.2813,10.9286,12.1687,10971288.73,127324266.4,284317
